"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",365328,2646.00980488766
"2","casual","Mon",209136,2268.38314780812
"3","casual","Tue",201570,2048.47557672273
"4","casual","Wed",209219,2042.44981574331
"5","casual","Thu",209278,2016.67876222059
"6","casual","Fri",275074,2190.50632557057
"7","casual","Sat",453966,2460.94511042677
"8","member","Sun",305103,1014.86806094991
"9","member","Mon",323132,860.7440581558
"10","member","Tue",352154,836.445643099326
"11","member","Wed",370347,843.256780802869
"12","member","Thu",351679,826.617003005582
"13","member","Fri",358310,872.207574446708
"14","member","Sat",366110,979.979309497146
