"","member_casual","month","weekday","number_of_rides","average_duration"
"1","casual","01","Sun",2531,1864.76728565784
"2","casual","01","Mon",1819,1271.85266630016
"3","casual","01","Tue",1619,1411.00061766523
"4","casual","01","Wed",1810,1659.9861878453
"5","casual","01","Thu",2050,1348.35853658537
"6","casual","01","Fri",2452,1464.58319738989
"7","casual","01","Sat",3635,1988.44896836314
"8","casual","02","Sun",1282,2765.02184087364
"9","casual","02","Mon",510,2410.83529411765
"10","casual","02","Tue",896,3210.32366071429
"11","casual","02","Wed",996,2195.84939759036
"12","casual","02","Thu",920,1305.76195652174
"13","casual","02","Fri",1326,4166.54977375566
"14","casual","02","Sat",3288,3821.02767639903
"15","casual","03","Sun",16469,2540.91687412715
"16","casual","03","Mon",11229,2746.54973728738
"17","casual","03","Tue",9750,2230.35261538462
"18","casual","03","Wed",8121,1788.8714444034
"19","casual","03","Thu",5055,1879.02393669634
"20","casual","03","Fri",7194,1816.89824854045
"21","casual","03","Sat",21045,2601.73081492041
"22","casual","04","Sun",23716,2613.70517793894
"23","casual","04","Mon",14734,2307.89167910954
"24","casual","04","Tue",18800,2455.34388297872
"25","casual","04","Wed",10922,2406.4397546237
"26","casual","04","Thu",11074,1549.14312804768
"27","casual","04","Fri",20881,2604.42641635937
"28","casual","04","Sat",26043,2268.57881196483
"29","casual","05","Sun",57018,2913.53751446911
"30","casual","05","Mon",30925,2374.86974939369
"31","casual","05","Tue",16223,1930.07304444307
"32","casual","05","Wed",20462,1972.24318248461
"33","casual","05","Thu",20102,2061.08436971446
"34","casual","05","Fri",26903,2206.22662900048
"35","casual","05","Sat",59517,2462.78164221987
"36","casual","06","Sun",62518,2653.90981797242
"37","casual","06","Mon",30579,1939.50397331502
"38","casual","06","Tue",41984,2122.96896436738
"39","casual","06","Wed",42551,2194.56583864069
"40","casual","06","Thu",36071,2231.070084001
"41","casual","06","Fri",46517,2319.3573532257
"42","casual","06","Sat",67569,2630.95662211961
"43","casual","07","Sun",62976,2300.91780995935
"44","casual","07","Mon",43134,2314.2729633236
"45","casual","07","Tue",39852,1756.53610860183
"46","casual","07","Wed",41003,1794.47162402751
"47","casual","07","Thu",50131,1926.95431968243
"48","casual","07","Fri",63588,1932.13769893691
"49","casual","07","Sat",93743,2175.15112595074
"50","casual","08","Sun",57769,3018.63591199432
"51","casual","08","Mon",28181,2648.3352258614
"52","casual","08","Tue",27646,2501.01985820734
"53","casual","08","Wed",28854,2432.2715394746
"54","casual","08","Thu",30358,2645.24207787074
"55","casual","08","Fri",38410,2507.52764904973
"56","casual","08","Sat",72650,2862.21141087405
"57","casual","09","Sun",42534,2711.95972633658
"58","casual","09","Mon",26412,2407.08814175375
"59","casual","09","Tue",21427,1848.3906286461
"60","casual","09","Wed",28243,2193.51970399745
"61","casual","09","Thu",22784,1912.7965238764
"62","casual","09","Fri",31469,2221.81181480187
"63","casual","09","Sat",47842,2543.77875088834
"64","casual","10","Sun",19629,2087.49111009221
"65","casual","10","Mon",8976,1576.90173796791
"66","casual","10","Tue",12743,1844.80059640587
"67","casual","10","Wed",14879,1666.43302641307
"68","casual","10","Thu",17498,1502.78831866499
"69","casual","10","Fri",21367,1988.54602892311
"70","casual","10","Sat",35475,2124.23819591261
"71","casual","11","Sun",14272,2443.85447029148
"72","casual","11","Mon",9543,1731.63271507912
"73","casual","11","Tue",7192,1740.99429922136
"74","casual","11","Wed",7350,1557.72680272109
"75","casual","11","Thu",9100,1809.49395604396
"76","casual","11","Fri",11950,1918.89631799163
"77","casual","11","Sat",19039,2241.92767477283
"78","casual","12","Sun",4614,2607.72670134374
"79","casual","12","Mon",3094,1470.35940530058
"80","casual","12","Tue",3438,1344.38394415358
"81","casual","12","Wed",4028,1396.44662363456
"82","casual","12","Thu",4135,1516.515356711
"83","casual","12","Fri",3017,1400.29830957905
"84","casual","12","Sat",4120,1850.88009708738
"85","member","01","Sun",8090,809.5891223733
"86","member","01","Mon",10245,808.492532942899
"87","member","01","Tue",9770,726.916171954964
"88","member","01","Wed",10360,813.043725868726
"89","member","01","Thu",11067,736.462094515225
"90","member","01","Fri",11536,741.555998613037
"91","member","01","Sat",11219,821.21775559319
"92","member","02","Sun",3696,1310.54788961039
"93","member","02","Mon",3717,1212.30293247242
"94","member","02","Tue",5277,1066.12999810498
"95","member","02","Wed",6104,1065.33404325033
"96","member","02","Thu",5527,948.774561244798
"97","member","02","Fri",6049,1049.30947264011
"98","member","02","Sat",5984,1185.03826871658
"99","member","03","Sun",17055,976.414717091762
"100","member","03","Mon",21341,850.016306639801
"101","member","03","Tue",21903,807.831438615715
"102","member","03","Wed",21239,772.9457601582
"103","member","03","Thu",14917,722.473017362741
"104","member","03","Fri",16621,765.713555141087
"105","member","03","Sat",21697,954.860072821127
"106","member","04","Sun",23349,1009.25559981156
"107","member","04","Mon",25653,861.47807274003
"108","member","04","Tue",29389,870.051107557249
"109","member","04","Wed",23440,807.074061433447
"110","member","04","Thu",25732,795.442289755946
"111","member","04","Fri",32856,856.356647187728
"112","member","04","Sat",24550,994.274134419552
"113","member","05","Sun",37846,1026.42091634519
"114","member","05","Mon",37373,876.090305835764
"115","member","05","Tue",30104,776.041256975817
"116","member","05","Wed",35450,826.411932299013
"117","member","05","Thu",32123,809.158079880459
"118","member","05","Fri",31918,844.954571088414
"119","member","05","Sat",41872,982.48268532671
"120","member","06","Sun",40252,1007.05157507701
"121","member","06","Mon",39407,810.852843403456
"122","member","06","Tue",55262,855.502044804748
"123","member","06","Wed",58429,837.333977990382
"124","member","06","Thu",44268,851.176086563658
"125","member","06","Fri",42701,872.880611695276
"126","member","06","Sat",41329,968.947978417092
"127","member","07","Sun",35302,964.287745736785
"128","member","07","Mon",41796,848.871805914442
"129","member","07","Tue",47090,804.615247398598
"130","member","07","Wed",48213,795.289984029204
"131","member","07","Thu",57999,804.475111639856
"132","member","07","Fri",57209,829.269101015575
"133","member","07","Sat",53030,952.838544220253
"134","member","08","Sun",48629,1117.86327088774
"135","member","08","Mon",43770,1000.25284441398
"136","member","08","Tue",43255,945.690093630794
"137","member","08","Wed",44106,994.61846460799
"138","member","08","Thu",43644,934.893020804692
"139","member","08","Fri",45314,965.428940283356
"140","member","08","Sat",57827,1079.86886748405
"141","member","09","Sun",37073,1141.39368273407
"142","member","09","Mon",36663,919.587622398603
"143","member","09","Tue",43632,846.086473230656
"144","member","09","Wed",52080,862.972734254992
"145","member","09","Thu",40229,866.587412065923
"146","member","09","Fri",42089,914.760935161206
"147","member","09","Sat",37939,1033.69891141042
"148","member","10","Sun",22793,893.77730004826
"149","member","10","Mon",24013,753.142589430725
"150","member","10","Tue",30443,818.741319843642
"151","member","10","Wed",33693,831.117086635206
"152","member","10","Thu",38959,793.487486845145
"153","member","10","Fri",36940,928.539604764483
"154","member","10","Sat",37407,917.624963242174
"155","member","11","Sun",20268,899.708259325044
"156","member","11","Mon",26345,757.884190548491
"157","member","11","Tue",20210,782.560168233548
"158","member","11","Wed",20955,779.685946074922
"159","member","11","Thu",21760,784.835569852941
"160","member","11","Fri",23655,833.803635595012
"161","member","11","Sat",22761,940.432713852643
"162","member","12","Sun",10750,867.200093023256
"163","member","12","Mon",12809,732.507689905535
"164","member","12","Tue",15819,725.399266704596
"165","member","12","Wed",16278,756.828910185527
"166","member","12","Thu",15454,781.478581596998
"167","member","12","Fri",11422,770.352390124321
"168","member","12","Sat",10495,785.290614578371
